,Active Energy (kcal),Apple Exercise Time (min),Apple Stand Hour (count),Apple Stand Time (min),Blood Oxygen Saturation (%),Environmental Audio Exposure (dBASPL),Flights Climbed (count),Headphone Audio Exposure (dBASPL),Heart Rate [Min] (count/min),Heart Rate [Max] (count/min),Heart Rate [Avg] (count/min),Heart Rate Variability (ms),Physical Effort (kcal/hr·kg),Respiratory Rate (count/min),Resting Energy (kcal),Resting Heart Rate (count/min),Six-Minute Walking Test Distance (m),Sleep Analysis [Total] (hr),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),Stair Speed: Down (ft/s),Stair Speed: Up (ft/s),Step Count (count),Time in Daylight (min),VO2 Max (ml/(kg·min)),Walking + Running Distance (mi),Walking Asymmetry Percentage (%),Walking Double Support Percentage (%),Walking Heart Rate Average (count/min),Walking Speed (mi/hr),Walking Step Length (in),upload_byte_count,screen_on,temperature,feels_like,humidity,rain,wind_speed
Active Energy (kcal),1.0,0.00034934843451980716,0.012311381706514848,0.5473636002272456,0.0024128842849649736,0.037265378720998624,0.026492804214993507,0.007980204419115199,0.4400125657149978,0.4644953548520226,0.46466488075133033,-0.004395086591226276,0.24551549347160415,0.0022292502937264823,0.40121182804728095,0.00398974796302065,-0.00428812185361316,0.010311876523887492,-0.005208391383989656,0.009361472848039868,0.0032518811340800733,-0.0020190135608176207,0.0042905866680134986,0.005766540627854027,-0.004340357863228751,-0.004001917572179658,0.6338990660579894,0.03463387920565906,-0.00416951199992623,0.650538868827302,-0.003694950146724293,-0.041028612925725905,0.0006668933981702499,0.12676527416319386,0.10365282620436665,-0.004889815239952786,-0.005856058586119242,0.12712823992809832,0.09704619895623673,-0.11499381218646416,-0.04081951825261956,0.09902594682985667
Apple Exercise Time (min),0.00034934843451980716,1.0,-0.0006132293184760885,-0.003839774632886704,-0.005774422310338521,-0.0005162529981915777,0.002493165029451896,-0.005481699396104307,-0.0009576429189432073,0.004002505129087256,0.0015802326578838065,-0.00655971724907467,-0.006581749284446013,-0.0028625454504129233,-0.001969136061678982,-0.003547712277974481,0.0037054252713021266,-0.009537903242658857,-0.0011229317275929928,0.002372054163758972,-0.003051863690004471,-0.003471598328446535,-0.005295860787198082,-0.0018173207411656923,-0.002656496188615789,-0.005059534909991232,-0.0033693003684402965,-0.008668269332839318,-0.002245582356038866,-0.009644786727053727,-0.003576960743812824,0.0033534776030501564,-0.0026467306425089977,0.008162041039881726,0.005145241925487715,0.0012768749784590053,0.0025293741733416726,0.00023940223758378226,-0.0013788395492457864,-0.013336058845217871,-0.00444566845865524,-0.002025193305516151
Apple Stand Hour (count),0.012311381706514848,-0.0006132293184760885,1.0,-0.0017518140973302157,0.004342508115403129,0.0015155794130162351,-0.0032025765863931033,0.0027501814751584902,-0.0037713324157205284,-0.000965019639650741,-0.0042185903933127595,0.00146311955395944,0.010436344809138553,-0.0005955313036404919,0.0067180330582195845,6.954962176129656e-05,-0.0076841542195862705,-0.006194488081059062,-0.0001929024147336672,-0.0018944046540489395,-0.0063406979656656344,-0.0033447965220569807,0.0005212160647653579,-0.00598388464360659,0.002792585465321068,0.004942928142269025,0.010287054151876512,-0.0006408733604802959,-0.006642410006008864,0.012630870498701492,-0.0028063867808190792,0.02722552659765961,0.0013340330131259672,-0.014914967469217406,-0.010248114959555599,-0.002497038245851307,-0.002973093341479204,0.0011986248868458371,0.0016694478513923157,-0.0009179310029006515,-0.00489728800845351,-0.003419918039537692
Apple Stand Time (min),0.5473636002272456,-0.003839774632886704,-0.0017518140973302157,1.0,-0.001526469932413582,0.012786766683169698,-0.007387136772783324,0.0014727001495327733,0.2545277411490758,0.2702340254011088,0.27038277638451524,0.004591249651215436,0.15655893872324644,-0.011857509463686402,0.17993356221590528,0.0007537942383524056,-0.0054506293927978604,0.012913315456559056,-0.004215556993445695,0.004945668527829615,0.0024094284781979256,-0.0026217939952961748,0.007824911741238031,0.013682350624366775,-0.005002859860763231,-0.00817070383647265,0.5742734536507393,0.044536872001410245,-0.004812067374795774,0.551155988594294,0.0026342962288531057,-0.027872819583795623,-0.0009399520437579403,0.06806658290322473,0.06654804488448257,-0.0030696870387948716,-0.01332018518102806,0.06853814450853196,0.049648161351293185,-0.06341304218635035,-0.026520780601390865,0.06270110637115342
Blood Oxygen Saturation (%),0.0024128842849649736,-0.005774422310338521,0.004342508115403129,-0.001526469932413582,1.0,0.002745159878351809,0.0036277167849327707,-0.0029059999050902916,-0.005259360418496772,-0.0028593810213128805,-0.0047506867710089325,0.0036484430968072076,0.003145109858290597,-0.0011181808660287462,0.007967816491614996,0.010690389608961574,0.001940898887889467,-0.003684918165212566,-0.003213529998090117,0.0023485993106976857,0.006960562934609573,0.00033679466493137885,-0.000919127253016684,-0.008071658871577929,0.0013659947207680875,-0.0029607689746579268,0.003953026054652264,0.0030397438972170746,0.0023989781858780638,0.004526740360473223,-0.004547822698474115,-0.002162753687570112,0.0044589362584343635,0.004643083614940908,0.0018490717957358959,0.00020247776110288924,-0.005929755168263525,0.007929325315455215,0.00822840944183259,-0.0024342795352932474,0.004317750544173069,-0.0038539178343773074
Environmental Audio Exposure (dBASPL),0.037265378720998624,-0.0005162529981915777,0.0015155794130162351,0.012786766683169698,0.002745159878351809,1.0,-0.01421942608399311,0.0005881668220989831,0.03489412718511615,0.03573810410784997,0.03370136059221188,-0.012426202503466209,0.011448351371589704,0.006500913845492566,0.05390443235557696,-0.0020112905959360277,-0.0006090438229113982,-0.00026186453998417375,-0.00657765921303156,0.006363840366756425,-0.0013108658826255805,0.00042992541961685873,-0.0021457297127478532,0.0055695107426546354,0.001349418862278911,-9.86376129780078e-05,-0.0006714759746089472,-0.007284979930674491,-0.0022341953456833006,-0.0031822811515582667,0.00019639152015165474,0.008654029581079808,-0.003492855229679262,-0.00799927556608178,-0.00778410237898053,-0.0032102646037810547,0.0003325088513914855,0.022626382299335262,0.013336417382156041,-0.04487566198091424,-0.006842272771571184,0.024382183445550928
Flights Climbed (count),0.026492804214993507,0.002493165029451896,-0.0032025765863931033,-0.007387136772783324,0.0036277167849327707,-0.01421942608399311,1.0,-0.004199798237785395,0.014318753186177726,0.018071399026430283,0.01735429852619666,0.0007072251133664477,0.05795624458263135,-0.0009743764687517839,0.006743976710813839,-0.0029076863673188234,0.0009799180814903513,-0.003281921911222751,-0.0056254475928999405,0.007786860734193424,-0.001308466519544954,-0.0023510489697291235,-0.001100043906283538,0.0027734861027948025,0.00021422299770851617,-0.020164523585364514,0.015632051813979274,0.0061235206298634005,-0.0027712710979456235,0.004860721313767129,-0.004743661227877602,0.013730955468649986,-0.005965058745675046,-0.028426323601077576,-0.027575073834373527,-0.0007956435610152305,0.0011453096763872053,5.768623196600738e-05,0.00019820800510080098,0.0004122978268614561,8.9766031055072e-05,-0.002341236575533097
Headphone Audio Exposure (dBASPL),0.007980204419115199,-0.005481699396104307,0.0027501814751584902,0.0014727001495327733,-0.0029059999050902916,0.0005881668220989831,-0.004199798237785395,1.0,0.007817607696151462,0.008413328299638465,0.007810170643621594,-0.0015872402729267374,0.008587430828614634,0.0013603419887793845,0.009344436595554432,-0.004851796552443749,-0.004973846437053887,-0.003701746514984988,0.00908743891929376,0.004150909557040897,-0.006923898482316986,0.0022949971213843436,0.0028232044673541334,-0.008602541066802659,-0.003086973162334426,0.003066902683596024,0.0027830795247993025,-0.009618053358188092,0.006652631062823717,-0.00400849037918307,-0.008199934888450689,0.0017516041278188691,-0.004829090111231379,0.005131220266767185,0.004261636045201004,0.0015507981972212178,-0.006889632655810092,0.0220585438673519,0.021362886009554372,-0.0018325374443982788,0.004597965565433331,0.01083241174570081
Heart Rate [Min] (count/min),0.4400125657149978,-0.0009576429189432073,-0.0037713324157205284,0.2545277411490758,-0.005259360418496772,0.03489412718511615,0.014318753186177726,0.007817607696151462,1.0,0.9155519357416818,0.9394560665970881,-0.07315595477858389,0.0665176173097578,0.013706745821737955,0.24013732444694072,-0.0019632550480554734,-0.006504334999487724,0.0035997000044796774,-0.005071504030672201,0.005156937288360411,0.0011690504751727504,-0.004927691601916606,0.002932211463153506,0.006263111629909079,-0.0094792382960708,0.002985919384580122,0.2891207120562001,-0.0068159335461946075,-0.0012752618209185835,0.2781114060373053,-0.005502889723424404,-0.03181131657378144,0.0009836521460115807,0.06854833550350138,0.05998213800931256,0.013790364154357214,0.0075548890310694235,0.0996479811429132,0.07480754877901032,-0.09859434257109595,-0.050037959373976156,0.0860074032719336
Heart Rate [Max] (count/min),0.4644953548520226,0.004002505129087256,-0.000965019639650741,0.2702340254011088,-0.0028593810213128805,0.03573810410784997,0.018071399026430283,0.008413328299638465,0.9155519357416818,1.0,0.9444037990717279,-0.07305726467546853,0.06576431216376993,0.013372997544438858,0.2479097280952032,-0.001716115710226261,-0.0064623351786055536,0.0074112104238361195,-0.004570622389385818,0.0062616696893812345,-0.0013005219865825097,-0.005522229210142286,0.0031748842974044502,0.00724385081027412,-0.008769683260787324,0.0026733544956272014,0.30879342502186,-0.005353460318755248,-0.0011845843205478667,0.2910139636163379,-0.0032830344521132607,-0.031929544193623274,-0.0022366585741994045,0.07059062217012674,0.06211010479119682,0.013071273304680043,0.005488553763097451,0.09781739900721372,0.07377263927553504,-0.09736585166765754,-0.05201982041396039,0.0814178365679
