time,temperature,feels_like,humidity,rain,wind_speed,pm2_5
2025-10-14T00:00,13.4,10.6,88,1.1,22.1,
2025-10-14T01:00,13.2,10.5,87,1.6,20.6,
2025-10-14T02:00,13.0,10.3,88,2.1,20.9,
2025-10-14T03:00,13.2,10.7,87,0.0,19.8,
2025-10-14T04:00,13.2,10.8,87,0.0,19.0,
2025-10-14T05:00,13.0,10.6,87,0.0,18.5,
2025-10-14T06:00,12.4,10.0,88,0.1,18.1,
2025-10-14T07:00,12.2,9.7,88,0.0,17.6,
2025-10-14T08:00,12.1,9.7,87,0.0,17.3,
2025-10-14T09:00,12.2,9.6,85,0.0,17.4,
2025-10-14T10:00,12.2,9.9,85,0.0,15.5,
2025-10-14T11:00,12.2,9.9,85,0.0,15.3,
2025-10-14T12:00,12.1,10.1,85,0.0,13.3,
2025-10-14T13:00,12.2,10.2,85,0.0,13.5,
2025-10-14T14:00,12.8,10.7,82,0.0,14.6,
2025-10-14T15:00,13.7,11.6,78,0.0,14.4,
2025-10-14T16:00,14.7,12.8,75,0.0,13.8,
2025-10-14T17:00,15.2,13.3,74,0.0,14.3,
2025-10-14T18:00,15.0,12.7,75,0.0,17.4,
2025-10-14T19:00,15.7,14.1,74,0.0,13.5,
2025-10-14T20:00,16.0,14.3,75,0.0,15.3,
2025-10-14T21:00,15.5,14.0,76,0.0,13.5,
2025-10-14T22:00,14.7,13.4,80,0.0,11.8,
2025-10-14T23:00,14.7,13.5,81,0.0,11.9,
2025-10-15T00:00,15.1,13.9,81,0.0,12.6,
2025-10-15T01:00,15.0,13.8,80,0.0,12.4,
2025-10-15T02:00,15.0,13.8,80,0.0,11.8,
2025-10-15T03:00,14.9,13.7,81,0.0,11.5,
2025-10-15T04:00,14.8,13.5,82,0.0,12.4,
2025-10-15T05:00,14.7,13.6,83,0.0,11.5,
2025-10-15T06:00,14.5,13.7,85,0.0,10.4,
2025-10-15T07:00,14.3,13.7,87,0.0,8.7,
2025-10-15T08:00,14.0,13.5,88,0.0,8.3,
2025-10-15T09:00,13.9,13.2,87,0.0,8.6,
2025-10-15T10:00,13.3,12.5,87,0.0,8.5,
2025-10-15T11:00,12.5,12.0,88,0.0,5.5,
2025-10-15T12:00,13.3,12.7,85,0.0,6.2,
2025-10-15T13:00,14.3,13.9,81,0.0,5.6,
2025-10-15T14:00,15.8,15.3,76,0.0,6.3,
2025-10-15T15:00,17.4,17.2,72,0.0,6.7,
2025-10-15T16:00,18.6,17.7,67,0.0,11.5,
2025-10-15T17:00,19.2,18.5,65,0.0,13.3,
2025-10-15T18:00,19.5,18.6,62,0.0,10.7,
2025-10-15T19:00,19.7,18.4,58,0.0,11.6,
2025-10-15T20:00,19.5,17.4,51,0.0,13.3,
2025-10-15T21:00,18.5,15.9,49,0.0,13.4,
2025-10-15T22:00,16.4,14.2,60,0.0,13.1,
2025-10-15T23:00,14.4,12.6,73,0.0,11.8,
2025-10-16T00:00,13.8,11.9,73,0.0,11.4,
2025-10-16T01:00,12.6,10.5,72,0.0,10.1,
2025-10-16T02:00,11.8,9.5,72,0.0,10.0,
2025-10-16T03:00,11.5,8.4,64,0.0,12.9,
2025-10-16T04:00,11.2,8.0,60,0.0,12.3,
2025-10-16T05:00,10.3,7.1,61,0.0,10.8,
2025-10-16T06:00,9.6,6.3,61,0.0,11.5,
2025-10-16T07:00,9.1,5.7,63,0.0,11.6,
2025-10-16T08:00,8.5,5.2,66,0.0,11.0,
2025-10-16T09:00,8.0,4.8,68,0.0,10.0,
2025-10-16T10:00,7.5,4.3,70,0.0,9.8,
2025-10-16T11:00,7.1,3.8,70,0.0,10.2,
2025-10-16T12:00,7.7,4.2,68,0.0,12.0,
2025-10-16T13:00,8.7,5.3,63,0.0,11.9,
2025-10-16T14:00,9.8,5.8,57,0.0,14.9,
2025-10-16T15:00,10.6,6.2,49,0.0,16.4,
2025-10-16T16:00,11.8,7.8,47,0.0,16.4,
2025-10-16T17:00,12.9,8.9,41,0.0,17.3,
2025-10-16T18:00,14.6,10.4,34,0.0,17.3,
2025-10-16T19:00,15.2,10.4,31,0.0,17.1,
2025-10-16T20:00,15.1,10.2,30,0.0,16.5,
2025-10-16T21:00,14.4,10.1,35,0.0,13.7,
2025-10-16T22:00,12.6,8.0,39,0.0,16.5,
2025-10-16T23:00,11.3,6.6,45,0.0,17.5,
2025-10-17T00:00,11.0,6.8,48,0.0,14.6,
2025-10-17T01:00,10.4,6.1,49,0.0,15.3,
2025-10-17T02:00,9.8,5.4,49,0.0,15.1,
2025-10-17T03:00,9.1,4.9,51,0.0,14.2,
2025-10-17T04:00,8.6,4.4,53,0.0,13.7,
2025-10-17T05:00,8.1,4.0,53,0.0,13.3,
2025-10-17T06:00,7.9,3.5,54,0.0,15.0,
2025-10-17T07:00,7.6,3.3,55,0.0,14.3,
2025-10-17T08:00,7.6,3.3,56,0.0,14.2,
2025-10-17T09:00,7.4,3.1,56,0.0,14.6,
2025-10-17T10:00,7.3,2.9,56,0.0,15.0,
2025-10-17T11:00,7.1,2.7,57,0.0,14.5,
2025-10-17T12:00,7.9,3.6,56,0.0,14.3,
2025-10-17T13:00,9.1,5.7,56,0.0,9.4,
2025-10-17T14:00,10.5,6.8,51,0.0,11.8,
2025-10-17T15:00,11.9,8.3,48,0.0,12.3,
2025-10-17T16:00,13.2,10.0,45,0.0,11.7,
2025-10-17T17:00,14.3,11.7,44,0.0,10.3,
2025-10-17T18:00,16.1,13.6,39,0.0,8.0,
2025-10-17T19:00,16.8,14.0,37,0.0,7.3,
2025-10-17T20:00,16.9,13.8,35,0.0,8.0,
2025-10-17T21:00,16.3,13.9,41,0.0,5.7,
2025-10-17T22:00,13.9,11.9,55,0.0,5.4,
2025-10-17T23:00,12.8,10.5,58,0.0,7.1,
